ensemble,cycle,reference_datetime,horizon,datetime,site_id,variable,prediction
gec00,00,2022-10-29,003,2022-10-29T03:00:00Z,rc,PRES,100195.5
gec00,00,2022-10-29,003,2022-10-29T03:00:00Z,rc,TMP,12.906243896484398
gec00,00,2022-10-29,003,2022-10-29T03:00:00Z,rc,RH,95.48003387451172
gec00,00,2022-10-29,003,2022-10-29T03:00:00Z,rc,UGRD,-0.40745115280151367
gec00,00,2022-10-29,003,2022-10-29T03:00:00Z,rc,VGRD,-5.786826133728027
gec00,00,2022-10-29,003,2022-10-29T03:00:00Z,rc,APCP,1.96999990940094
gec00,00,2022-10-29,003,2022-10-29T03:00:00Z,rc,TCDC,99
gec00,00,2022-10-29,003,2022-10-29T03:00:00Z,rc,DSWRF,0
gec00,00,2022-10-29,003,2022-10-29T03:00:00Z,rc,DLWRF,367.27923583984375
gec00,00,2022-10-29,006,2022-10-29T06:00:00Z,rc,PRES,100091.8046875
gec00,00,2022-10-29,006,2022-10-29T06:00:00Z,rc,TMP,13.334191894531273
gec00,00,2022-10-29,006,2022-10-29T06:00:00Z,rc,RH,95.00865173339844
gec00,00,2022-10-29,006,2022-10-29T06:00:00Z,rc,UGRD,1.6561400890350342
gec00,00,2022-10-29,006,2022-10-29T06:00:00Z,rc,VGRD,-4.853317737579346
gec00,00,2022-10-29,006,2022-10-29T06:00:00Z,rc,APCP,2.200000047683716
gec00,00,2022-10-29,006,2022-10-29T06:00:00Z,rc,TCDC,94
gec00,00,2022-10-29,006,2022-10-29T06:00:00Z,rc,DSWRF,0
gec00,00,2022-10-29,006,2022-10-29T06:00:00Z,rc,DLWRF,369.27923583984375
gec00,00,2022-10-29,009,2022-10-29T09:00:00Z,rc,PRES,99982.5546875
gec00,00,2022-10-29,009,2022-10-29T09:00:00Z,rc,TMP,13.526513671875023
gec00,00,2022-10-29,009,2022-10-29T09:00:00Z,rc,RH,94.81392669677734
gec00,00,2022-10-29,009,2022-10-29T09:00:00Z,rc,UGRD,2.588937997817993
gec00,00,2022-10-29,009,2022-10-29T09:00:00Z,rc,VGRD,-4.480959415435791
gec00,00,2022-10-29,009,2022-10-29T09:00:00Z,rc,APCP,0.25
gec00,00,2022-10-29,009,2022-10-29T09:00:00Z,rc,TCDC,100
